id	contentType	name	nfsSeriesName	description	url	thumbnailUrl	grades	subjectAreas	subjects	curriculumStandardCode	keywords	duration	datePublished	expires	regionsAllowed
D0005110412_00000	ばんぐみ	とじこめられた空気	ふしぎエンドレス 理科４年	空気でっぽうの説明	https://www2.nhk.or.jp/school/watch/bangumi/?das_id=D0005110412_00000	https://www.nhk.or.jp/das/image/D0005110/D0005110412_00000_S_001.jpg	小4	理科		8260243111100000	空気,体積	PT0H10M0S	2018-11-06T09:30:00+09:00		
D0005110413_00000	ばんぐみ	とじこめられた水	ふしぎエンドレス 理科４年	水でっぽうの説明	https://www2.nhk.or.jp/school/watch/bangumi/?das_id=D0005110413_00000	https://www.nhk.or.jp/das/image/D0005110/D0005110413_00000_S_001.jpg	小4	理科		8260243111100000	水,体積	PT0H10M0S	2018-11-06T09:30:00+09:00		
